Date,Min,Open,High,Low,Close,Adj_Close,Volume
2010/1/4,9:31,103.47,103.47,103.47,103.47,15,15520
2010/1/4,9:32,103.47,103.47,103.47,103.47,0,0
2010/1/4,9:33,103.47,103.47,103.47,103.47,42,43457
2010/1/4,9:34,103.47,103.47,103.47,103.47,0,0
2010/1/4,9:35,103.47,103.47,103.47,103.47,0,0
2010/1/4,9:36,103.54,103.54,103.54,103.54,5,5177
2010/1/4,9:37,103.54,103.54,103.54,103.54,0,0
2010/1/4,9:38,103.54,103.54,103.54,103.54,0,0
2010/1/4,9:39,103.54,103.54,103.54,103.54,0,0
2010/1/4,9:40,103.54,103.54,103.54,103.54,0,0
2010/1/4,9:41,103.48,103.48,103.48,103.48,30,31044
2010/1/4,9:42,103.49,103.49,103.49,103.49,5,5175
2010/1/4,9:43,103.45,103.45,103.45,103.45,300,310386
2010/1/4,9:44,103.45,103.45,103.45,103.45,0,0
2010/1/4,9:45,103.45,103.45,103.45,103.45,0,0
2010/1/4,9:46,103.45,103.45,103.45,103.45,0,0
2010/1/4,9:47,103.47,103.47,103.47,103.47,3,3104
2010/1/4,9:48,103.47,103.47,103.47,103.47,0,0
2010/1/4,9:49,103.47,103.47,103.45,103.45,182,188282
2010/1/4,9:50,103.45,103.45,103.45,103.45,0,0
2010/1/4,9:51,103.45,103.45,103.45,103.45,3,3104
2010/1/4,9:52,103.45,103.45,103.45,103.45,30,31035
2010/1/4,9:53,103.45,103.45,103.45,103.45,0,0
2010/1/4,9:54,103.45,103.45,103.45,103.45,0,0
2010/1/4,9:55,103.45,103.45,103.45,103.45,0,0
2010/1/4,9:56,103.45,103.45,103.45,103.45,0,0
2010/1/4,9:57,103.45,103.45,103.45,103.45,30,31035
2010/1/4,9:58,103.45,103.45,103.45,103.45,5,5172
2010/1/4,9:59,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:00,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:01,103.45,103.45,103.45,103.45,392,405524
2010/1/4,10:02,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:03,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:04,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:05,103.5,103.5,103.5,103.5,13,13455
2010/1/4,10:06,103.5,103.5,103.5,103.5,0,0
2010/1/4,10:07,103.48,103.48,103.48,103.48,3,3104
2010/1/4,10:08,103.47,103.47,103.47,103.47,100,103470
2010/1/4,10:09,103.47,103.47,103.47,103.47,0,0
2010/1/4,10:10,103.47,103.47,103.47,103.47,0,0
2010/1/4,10:11,103.47,103.47,103.47,103.47,0,0
2010/1/4,10:12,103.45,103.45,103.45,103.45,650,672439
2010/1/4,10:13,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:14,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:15,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:16,103.45,103.45,103.45,103.45,329,340352
2010/1/4,10:17,103.45,103.45,103.45,103.45,376,388972
2010/1/4,10:18,103.45,103.45,103.45,103.45,428,442766
2010/1/4,10:19,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:20,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:21,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:22,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:23,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:24,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:25,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:26,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:27,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:28,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:29,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:30,103.47,103.47,103.47,103.47,8,8278
2010/1/4,10:31,103.45,103.45,103.45,103.45,138,142761
2010/1/4,10:32,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:33,103.45,103.45,103.45,103.45,12,12414
2010/1/4,10:34,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:35,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:36,103.46,103.46,103.46,103.46,10,10346
2010/1/4,10:37,103.46,103.46,103.46,103.46,0,0
2010/1/4,10:38,103.46,103.46,103.46,103.46,0,0
2010/1/4,10:39,103.46,103.46,103.46,103.46,0,0
2010/1/4,10:40,103.46,103.46,103.46,103.46,0,0
2010/1/4,10:41,103.46,103.46,103.46,103.46,0,0
2010/1/4,10:42,103.46,103.46,103.46,103.46,0,0
2010/1/4,10:43,103.46,103.46,103.45,103.45,40,41381
2010/1/4,10:44,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:45,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:46,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:47,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:48,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:49,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:50,103.45,103.45,103.45,103.45,10,10345
2010/1/4,10:51,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:52,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:53,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:54,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:55,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:56,103.45,103.45,103.45,103.45,86,88967
2010/1/4,10:57,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:58,103.45,103.45,103.45,103.45,0,0
2010/1/4,10:59,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:00,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:01,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:02,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:03,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:04,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:05,103.45,103.45,103.45,103.45,10,10345
2010/1/4,11:06,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:07,103.45,103.45,103.45,103.45,1,1034
2010/1/4,11:08,103.45,103.45,103.45,103.45,23,23794
2010/1/4,11:09,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:10,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:11,103.45,103.45,103.45,103.45,60,62070
2010/1/4,11:12,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:13,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:14,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:15,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:16,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:17,103.4,103.4,103.4,103.4,200,206844
2010/1/4,11:18,103.4,103.4,103.4,103.4,95,98230
2010/1/4,11:19,103.45,103.45,103.45,103.45,62,64139
2010/1/4,11:20,103.45,103.45,103.45,103.45,15,15518
2010/1/4,11:21,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:22,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:23,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:24,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:25,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:26,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:27,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:28,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:29,103.45,103.45,103.45,103.45,0,0
2010/1/4,11:30,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:01,103.45,103.45,103.45,103.45,71,73449
2010/1/4,13:02,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:03,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:04,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:05,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:06,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:07,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:08,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:09,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:10,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:11,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:12,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:13,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:14,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:15,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:16,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:17,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:18,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:19,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:20,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:21,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:22,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:23,103.46,103.46,103.46,103.46,75,77595
2010/1/4,13:24,103.46,103.46,103.46,103.46,0,0
2010/1/4,13:25,103.45,103.45,103.45,103.45,77,79657
2010/1/4,13:26,103.46,103.46,103.46,103.46,30,31038
2010/1/4,13:27,103.46,103.46,103.46,103.46,3,3104
2010/1/4,13:28,103.45,103.45,103.45,103.45,5,5172
2010/1/4,13:29,103.45,103.45,103.45,103.45,4,4138
2010/1/4,13:30,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:31,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:32,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:33,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:34,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:35,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:36,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:37,103.45,103.45,103.45,103.45,0,0
2010/1/4,13:38,103.45,103.45,103.45,103.45,0,0
